time,pitch
0.0,10.0
0.06,9.979731921249963
0.12,9.916706235418745
0.18,9.813412277326664
0.24,9.681132019695765
0.3,9.540745289964013
0.36,9.412605292167305
0.42,9.303948162944721
0.48,9.214109120759877
0.54,9.136946406827681
0.6,9.062476199230765
0.6599999999999999,8.978859356840976
0.72,8.874837379797453
0.78,8.742058403022638
0.84,8.57662418463042
0.8999999999999999,8.379491981995448
0.96,8.155884911602053
1.02,7.914109893498012
1.08,7.664055564833193
1.14,7.415537305296105
1.2,7.176667750783506
1.26,6.952443803095708
1.3199999999999998,6.743807532140604
1.38,6.547345866541364
1.44,6.355623480621215
1.5,6.15804836343573
1.56,5.942255344742341
1.6199999999999999,5.695916422232374
1.68,5.408646736306487
1.74,5.073678205556488
1.7999999999999998,4.689012807811769
1.8599999999999999,4.257883560038069
1.92,3.788400514649693
1.98,3.308400514649693
2.04,2.828400514649693
2.1,2.348400514649693
2.16,1.868400514649693
2.2199999999999998,1.4014099848608934
2.28,0.9620439774546654
2.34,0.5962769946198677
2.4,0.33892320468963655
2.46,0.17642325523202845
2.52,0.08247535380447363
2.58,0.03265812061968492
2.6399999999999997,0.008793637144298812
2.6999999999999997,0.0
2.76,0.0
2.82,0.0
2.88,0.0
2.94,0.0
3.0,0.0
3.06,0.0
3.12,0.0
3.1799999999999997,0.0
3.2399999999999998,0.0
3.3,0.0
3.36,0.0
3.42,0.0
3.48,0.0
3.54,0.0
3.5999999999999996,0.0
3.6599999999999997,0.0
3.7199999999999998,0.0
3.78,0.0
3.84,0.0
3.9,0.0
3.96,0.0
4.02,0.0
4.08,0.0
4.14,0.0
4.2,0.0
4.26,0.0
4.32,0.0
4.38,0.0
4.4399999999999995,0.0
4.5,0.0
4.56,0.0
4.62,0.0
4.68,0.03651681266762966
4.74,0.1264380442752107
4.8,0.2354675039718441
4.859999999999999,0.33842155864961965
4.92,0.425999934324854
4.9799999999999995,0.5044481320624944
5.04,0.5917762198438367
5.1,0.7122400169927554
5.16,0.8898915360109825
5.22,1.1421978541746651
5.279999999999999,1.4752350513617856
5.34,1.8819837884323338
5.3999999999999995,2.3441241174836795
5.46,2.8241241174836795
5.52,3.3041241174836795
5.58,3.7750203612706454
5.64,4.202051243307837
5.7,4.56208901815507
5.76,4.841821213886403
5.819999999999999,5.037276512608684
