time,x_t,phi_shaft,q_b0_m0,q_b0_m1,q_b0_m2,q_b1_m0,q_b1_m1,q_b1_m2,q_b2_m0,q_b2_m1,q_b2_m2
0.0,6.84229404453673e-05,0.04318501750746835,0.006420822919198001,0.0027368500308121942,0.04005681179503034,0.03999162821088572,-0.018286683011501225,-0.003899449942380956,0.04325753303241989,0.02039594332920017,-0.003863176432488516
0.06,0.0003262988270302202,0.08632692992601332,0.03764396347445509,0.011872375027869007,0.18638287030598374,0.20437169713182177,-0.08928149769795138,-0.015592854469945476,0.21769085109003644,0.09910873398337636,-0.013923653803005797
0.12,0.0007687865593871034,0.1294177878080316,0.11224714871165078,0.024295432690472102,0.4218699065631169,0.5388545377680003,-0.2232786780268168,-0.03216238261677104,0.5624801998100635,0.24514882799543825,-0.023756915586593715
0.18,0.0012919043226262848,0.17246929446557283,0.23647782980460308,0.031850111060791136,0.6447835046894951,1.0318779060403946,-0.4050755651576012,-0.05580911939080143,1.0532837426841866,0.4374740123610255,-0.032093242387972974
0.24,0.0019306096916682143,0.2154929245358533,0.4062917249503179,0.027331060287220914,0.7535944864019856,1.6445108456969935,-0.6120857422186697,-0.10199510725290423,1.6429850274827755,0.6499310886287524,-0.05086994532220593
0.3,0.0030889354755114437,0.258495943374001,0.6135094304070132,0.006058512303703653,0.6993979457650855,2.319452219248962,-0.8157848514855054,-0.18300524341268007,2.2721734673777636,0.8558985286332055,-0.09118247199049782
0.36,0.005654062316671012,0.30148065559783804,0.8490894813635459,-0.03358041608182354,0.5103908434967395,2.9971468904305425,-0.9863063317102274,-0.28690994338250503,2.8823586402490924,1.03097114604484,-0.1463884069174514
0.42,0.010842730225975157,0.34444562439186455,1.1034232522610798,-0.09020690345547146,0.2773087810982451,3.625319414325434,-1.0974979195647576,-0.3802454982772361,3.424180252198985,1.155063114762471,-0.19248084325610407
0.48,0.019849442224754398,0.3873876973177025,1.3648896091825178,-0.1600576352283175,0.10846459124485218,4.162131447167613,-1.130989660549232,-0.42764469861445037,3.8603494700844836,1.2144139965226957,-0.2022470837158113
0.54,0.03348281136267471,0.4303040410614942,1.618564275834918,-0.2378770509267786,0.07761666308890575,4.579021425642043,-1.078993101235789,-0.40860094892126364,4.16812703095477,1.2030320197079916,-0.15826241804870045
0.6,0.05192698125690321,0.47319327159364794,1.846558489651014,-0.31754303808331025,0.1897950040098791,4.862368909420307,-0.9453318965748648,-0.32678857344452444,4.339960481951747,1.1235490609474263,-0.06265206740164883
0.6599999999999999,0.07472466635698125,0.5160555489040781,2.0309270342946593,-0.392418380431614,0.3814779765294157,5.0131138898527805,-0.7446106799483024,-0.20975664506778058,4.382485155681361,0.987163196829509,0.061501557188751686
0.72,0.10099127866335984,0.5588922089536724,2.1586763970313823,-0.45599640030535793,0.5547529574134367,5.044578870243301,-0.4998716903109209,-0.09866852504135584,4.314828021982436,0.8123881864517561,0.180406133710497
0.78,0.12975565364235359,0.6017054373859569,2.2260644083730536,-0.5029537861170941,0.6266122629711749,4.980112373188868,-0.23934938474201134,-0.030193378817010473,4.165307433958998,0.6227842703513786,0.2648805013366681
0.84,0.16026174251351874,0.6444981481884037,2.2398420108979518,-0.5300435103328324,0.5679443916793717,4.850390763941963,0.007235343718198823,-0.019927552768844718,3.9666112906485744,0.443903935257593,0.3021121910840434
0.8999999999999999,0.19210158257401952,0.6872742453447763,2.2151788784044304,-0.5365058889766783,0.414399109811184,4.690069449372499,0.21227235477326195,-0.05637531903095017,3.7507196518288044,0.29970721672432327,0.29914704800082054
0.96,0.22514076466947835,0.7300393605984257,2.171285811373965,-0.5243287458898179,0.24566695845748204,4.533958005954526,0.3531888193947496,-0.10819487082616713,3.5444956635715443,0.20895392647939426,0.2769415336273861
1.02,0.25929951590059747,0.7728015463342268,2.1264280406624194,-0.49855993254604064,0.1446558475501168,4.413009281675192,0.4145829448517553,-0.14102337397053222,3.3668645876982204,0.18230366122535174,0.2585601824037652
1.08,0.29431992381791433,0.8155708054891532,2.0941147270723137,-0.46709961925608867,0.15698302829409053,4.350835935125421,0.38983349445785803,-0.1351721685886551,3.22817806070336,0.22086939809819484,0.2580591689960692
1.14,0.3296473328701799,0.8583567202035383,2.081757453472856,-0.43929445089829927,0.2703010541217072,4.361288234747077,0.28240655706740964,-0.09543406337786463,3.1314065501301185,0.316591708662981,0.2753234384912355
1.2,0.3644886676990853,0.9011647919818392,2.0917245299281166,-0.4235919889469851,0.4223776719807879,4.447414964017398,0.10655784453474652,-0.04824149196184827,3.0742169913725115,0.4541724377631451,0.2985574502158615
1.26,0.39801786784556176,0.9439932139667194,2.123647634562799,-0.4253717598289568,0.5327109509467484,4.601767279320283,-0.11328368453672921,-0.02786417483601144,3.051054792703794,0.6138666763203678,0.31239139943750416
1.3199999999999998,0.4296270986074304,0.9868317318798263,2.1768019858373395,-0.445905143560705,0.5420801346551072,4.8082139840452385,-0.3450267478657472,-0.05804309991599373,3.0547210145454695,0.7744010436588901,0.307089775402848
1.38,0.4590981459396302,1.0296632387501907,2.2514137058937975,-0.4825804525742744,0.44083116313777365,5.0451375030501415,-0.5532381999249334,-0.13792344492394887,3.077368121268818,0.9155351470764117,0.2841559213345111
1.44,0.4866030458485411,1.0724676399683448,2.348224518593168,-0.5300278489095444,0.27229597249847926,5.288715594397329,-0.7044655238138003,-0.24070726985084567,3.1111335708396264,1.0200596972995652,0.2556810642533164
1.5,0.5125301022086016,1.1152268437051198,2.466689282180109,-0.5817597485867453,0.11040177090282385,5.515595107086495,-0.7724967802768409,-0.32603601871388094,3.148645717679834,1.0752084588854292,0.23800960168040575
1.56,0.5372188630917536,1.15792940759285,2.6029406128543036,-0.6318696535795228,0.023129475308157753,5.7049580718545405,-0.7425683024889751,-0.3594426092498976,3.183502547065228,1.0735703138206765,0.2431077496892348
1.6199999999999999,0.5607302485459336,1.2005734189113906,2.748892906190742,-0.6761801842637324,0.040100806764057424,5.840175627182328,-0.6137493608957295,-0.3289987400230178,3.2107113508599134,1.0136208995451779,0.2721398559254175
1.68,0.5827588339269,1.243166797514506,2.8931899457228596,-0.71247194775446,0.13977116732944755,5.910574461484558,-0.3991133582539066,-0.25045368847678195,3.2270307030380234,0.8999172519684482,0.3146521644533689
1.74,0.6027221130654954,1.2857251813891533,3.02397770979006,-0.7400613713814306,0.26202320020289277,5.912997156160937,-0.12371929197939666,-0.15888226982318696,3.2311179804618724,0.7428688542894878,0.35383652279538735
1.7999999999999998,0.6199749545941263,1.328268279719621,3.132609264525117,-0.7592748457625951,0.33938256951457374,5.852486246351192,0.1791828144405627,-0.09169873647589222,3.2233535576613397,0.557945524343761,0.3750792830755989
1.8599999999999999,0.6340394468955844,1.3708157451526648,3.2163510090301606,-0.7710048143468515,0.3302888561424421,5.741937066811434,0.4730336518146305,-0.0712321390903115,3.2053066573742264,0.3642554568389721,0.3732946968687526
1.92,0.6447394020948337,1.4133835194967388,3.278722567077783,-0.7762648556233531,0.23779806619210625,5.600674127413224,0.7230957410173576,-0.09512603161111763,3.1789497208685176,0.1825456833950931,0.3552221869241747
1.98,0.6521827988592184,1.4559814435105278,3.32768742548701,-0.7758518713916087,0.10576123758821698,5.451955472648257,0.900973436529753,-0.1390240045047404,3.1458429854354977,0.032786581943162585,0.3355359753663718
2.04,0.6566135586092272,1.498612499002116,3.372803293643114,-0.770357829628765,-0.004174330927576013,5.319675286152354,0.9879058254279849,-0.16992977139499768,3.106587518340785,-0.0683722140310956,0.32892031292692075
2.1,0.6582158577825555,1.5412733842299415,3.4222597211640924,-0.7604545596317908,-0.043269396964236886,5.224756639055242,0.97667349951704,-0.16359070227948894,3.0608162320558012,-0.1098648041345612,0.3424066007537296
2.16,0.6569751081421988,1.5839557035427427,3.480840782575759,-0.7470518156435996,0.000831830766232465,5.18191720041672,0.8722818378342619,-0.11726971202089248,3.0077543558726023,-0.08777286251249877,0.3720047211239214
2.2199999999999998,0.6526685442404229,1.626647280822212,3.5496075357078687,-0.7310989531423064,0.09921261200727384,5.197485431604438,0.691514736270306,-0.051513165955676066,2.947049339206436,-0.00593704113863687,0.4051885650378976
2.28,0.6449904471419516,1.6693336856714696,3.6270732598342605,-0.7132660006905085,0.19701917368064106,5.268782715292581,0.46118914256988136,0.000187405390237292,2.879459277270347,0.1244012629373427,0.42772158896544715
2.34,0.6337484722051447,1.7120003197230031,3.7110718768148194,-0.6939127688620499,0.2409602950042725,5.385108227385815,0.21492718076405745,0.00878204547648295,2.8071354103597246,0.28578720662514673,0.4312019732427725
2.4,0.6190307839748912,1.7546350947095206,3.80030289380496,-0.6734407983578012,0.20522001286046443,5.529901760814727,-0.011346516870999246,-0.034761738823100394,2.7334781661554066,0.456388819886829,0.4174570977533599
2.46,0.6012580114316066,1.797231217201729,3.8948169011752176,-0.652786891249342,0.10320931724129966,5.68344719464439,-0.18448402411499237,-0.11368987828177797,2.6627335092213915,0.6123154546237543,0.3975907624559698
2.52,0.5810909849467139,1.839789318838386,3.995355373401786,-0.6337947670974642,-0.020056374438628465,5.8253204797883384,-0.27885093448519155,-0.19281984784712125,2.599534050446539,0.7302561344191312,0.38619485696820643
2.58,0.5592370246103875,1.8823181796437756,4.102016583032612,-0.6192918461291259,-0.11065714218326743,5.936363156346494,-0.2798950064804011,-0.23531974673526723,2.548514981491141,0.790263516278886,0.3936772988703955
2.6399999999999997,0.5362475604451724,1.9248335136025325,4.213102663126652,-0.6126929889613704,-0.1320055621855935,6.000517046360454,-0.18595961403541625,-0.22012982768483616,2.513995227552562,0.7784643746922495,0.4205911458428895
2.6999999999999997,0.5124018625045846,1.9673547884815783,4.324897938097486,-0.6170351081636934,-0.08177803343223765,6.006672891330571,-0.008077817648383199,-0.15138120095009752,2.499615124674377,0.6893752418888139,0.456859448336877
2.76,0.48772717288409423,2.0099007727123435,4.432529771652086,-0.6336806253044014,0.008195169399815263,5.95033144640842,0.2321146617727903,-0.05557790534628242,2.5078494084382745,0.5273902223346669,0.48641768158487003
