time,pitch
0.0,10.0
0.06,9.982822450757947
0.12,9.931194717724736
0.18,9.851865183029613
0.24,9.760397221106945
0.3,9.673753685897736
0.36,9.606653753611571
0.42,9.569156367759408
0.48,9.564743834155372
0.54,9.58945232405365
0.6,9.632855969316491
0.6599999999999999,9.68106217876595
0.72,9.720906082261257
0.78,9.743888181784916
0.84,9.748446084530881
0.8999999999999999,9.739949676523077
0.96,9.728670374468479
1.02,9.726522393865668
1.08,9.743564564329297
1.14,9.78520171441409
1.2,9.850956056658301
1.26,9.935002671704604
1.3199999999999998,10.028006713526215
1.38,10.119413059040097
1.44,10.199410642328965
1.5,10.260431512013545
1.56,10.29833632550935
1.6199999999999999,10.313328857803002
1.68,10.310425976260165
1.74,10.2991622211675
1.7999999999999998,10.292265358638899
1.8599999999999999,10.30322134457777
1.92,10.343145257409796
1.98,10.41779174422672
2.04,10.525614025428675
2.1,10.65766971240791
2.16,10.799610191905732
2.2199999999999998,10.93524443631352
2.28,11.050592440563149
2.34,11.137095731284495
2.4,11.19313271467605
2.46,11.223777236432827
2.52,11.239372971821645
2.58,11.253493286257653
2.6399999999999997,11.280550738184797
2.6999999999999997,11.333363003054686
2.76,11.420847333876829
2.82,11.546097307519327
2.88,11.705332225791361
2.94,11.888177603562252
3.0,12.079389582301506
3.06,12.261794003043859
3.12,12.419874003185678
3.1799999999999997,12.543152224479469
3.2399999999999998,12.628472212669712
3.3,12.680557247010185
3.36,12.710869446038194
3.42,12.735183657776986
3.48,12.770372300777485
3.54,12.831019053767587
3.5999999999999996,12.926510112610712
3.6599999999999997,13.059057747889051
3.7199999999999998,13.223017380514126
3.78,13.405791496005516
3.84,13.590256388418577
3.9,13.758234771637596
3.96,13.8942582996752
4.02,13.988693603758486
4.08,14.039588799950879
4.14,14.052921972366455
4.2,14.041275062478737
4.26,14.021403347585236
4.32,14.011219362176186
4.38,14.02651151073901
4.4399999999999995,14.077748113867493
4.5,14.167633786412548
4.56,14.29008190716456
4.62,14.431065209083132
4.68,14.571509446131186
4.74,14.691600283479309
4.8,14.775248036616578
4.859999999999999,14.81354029295526
4.92,14.806466170632193
4.9799999999999995,14.762671098574215
5.04,14.697533677467893
5.1,14.63014151140666
5.16,14.579648215014794
5.22,14.561541135992218
5.279999999999999,14.584451897765847
5.34,14.648202496061476
5.3999999999999995,14.743657896502878
5.46,14.854593969043446
5.52,14.961233779967538
5.58,15.044482904199887
5.64,15.089895943343619
5.7,15.090657062894325
5.76,15.048906337526637
5.819999999999999,14.975183618275686
5.88,14.886278187730772
5.9399999999999995,14.801905854439589
6.0,14.740841335397853
6.06,14.717204166392836
6.12,14.737483449183166
6.18,14.798963449011579
6.24,14.89005500496937
6.3,14.992647161401301
6.359999999999999,15.086119956565987
6.42,15.152046372554333
6.4799999999999995,15.178224554688533
6.54,15.161083329613922
6.6,15.106142776404248
6.66,15.026625465925541
6.72,14.9406918657591
6.779999999999999,14.867869449295421
6.84,14.825257453321042
6.8999999999999995,14.824118076708087
6.96,14.867377854146579
7.02,14.9486561205193
7.08,15.05337533392725
7.14,15.161755460058297
7.199999999999999,15.253039476757436
7.26,15.30992996543098
7.319999999999999,15.322005325429469
7.38,15.287565730123298
7.4399999999999995,15.213847611542482
7.5,15.115634356406606
7.56,15.012497819773007
7.62,14.925071684993888
7.68,14.870831724409395
7.739999999999999,14.860133137608349
7.8,14.893541447612739
7.859999999999999,14.961433112967166
7.92,15.046211993101268
7.9799999999999995,15.126565297686636
8.04,15.182386883286068
8.1,15.198982546859938
8.16,15.16972362362662
8.219999999999999,15.096853741365342
8.28,14.990688304303934
8.34,14.867612048805842
8.4,14.747215581801843
8.459999999999999,14.648825282845504
8.52,14.587755715512488
8.58,14.571917303977948
8.64,14.599626842181191
8.7,14.65949596523522
8.76,14.73279390717308
8.82,14.797728496106993
8.879999999999999,14.834487511710886
8.94,14.829726247372264
9.0,14.779400328377072
