time,x_t,phi_shaft,q_b0_m0,q_b0_m1,q_b0_m2
0.0,-0.0004035069394654898,0.0611486733800363,0.04231921154271053,0.01019070135984734,0.03952513712915913
0.06,-0.002073667543266036,0.12214416144668208,0.21723096097629185,0.047794066431843196,0.17864891833854368
0.12,-0.005604578892820129,0.18293913282774732,0.5711366192815355,0.11249208309480915,0.38280074313194334
0.18,-0.011223823415930699,0.24354334733650812,1.082989282748819,0.18829138228814146,0.5318910227617093
0.24,-0.018935784285412836,0.30399325672272465,1.7074596160031377,0.2549711618122283,0.5274776698225718
0.3,-0.028327627308867898,0.36435012703354114,2.3940090733544945,0.2904915892576962,0.3520474267183152
0.36,-0.038567854957080816,0.4246546634697885,3.09702194014915,0.2794469142550801,0.07723040086457239
0.42,-0.04859086815885565,0.48492021809823443,3.7760130112733234,0.215985353045414,-0.17567810265438666
0.48,-0.0573818065989292,0.5451471916296873,4.392441743227851,0.10312571300032541,-0.29901153258625035
0.54,-0.06422768719229606,0.6053201031561342,4.91152555749317,-0.04663323544190994,-0.2508095161071777
0.6,-0.06882215607968817,0.6654087860593179,5.308075294945352,-0.2130280316911498,-0.06981167915099926
0.6599999999999999,-0.07119421732882501,0.7253738541788896,5.572679434853582,-0.3718804218240551,0.15013375186932112
0.72,-0.07151858109481637,0.7851746721972671,5.715960862278532,-0.4997804805616457,0.31016998092750764
0.78,-0.06991305343264115,0.8447772790603442,5.768375600769594,-0.5782068276825426,0.3541709158320343
0.84,-0.06632109183179279,0.9041600867890988,5.774688770017216,-0.5962060793968528,0.2909591072132445
0.8999999999999999,-0.06052613064724267,0.9633164995263203,5.784265309872013,-0.5517543943889145,0.18164152448087326
0.96,-0.05227243601088729,1.0222548124946433,5.839416927183971,-0.4524535068113969,0.10036476561050271
1.02,-0.04140959412315341,1.080995891022469,5.965978536754616,-0.3153951091879223,0.09166224592948839
1.08,-0.027967634080183594,1.1395689802632747,6.1696594854898565,-0.16535236311204313,0.14899040952095305
1.14,-0.01212085799018713,1.198006246732513,6.439090494292289,-0.03073997643780387,0.22404979110755183
1.2,0.0059283728463968306,1.256336894492059,6.753999261166367,0.06206617615099694,0.2576727802587992
1.26,0.02607699382853461,1.3145818713077329,7.094130897818751,0.09395513896968188,0.21400307493606058
1.3199999999999998,0.048391908477587786,1.3727500647114939,7.444391749875379,0.05624297860379311,0.10002108591764404
1.38,0.07308418827497515,1.4308363640651367,7.794672548040094,-0.04827044968767327,-0.039788709085932183
1.44,0.10040016049658128,1.488821616049576,8.136941079396468,-0.20572112165346013,-0.14888700011484127
1.5,0.13048990585067427,1.546674681371132,8.463160949749707,-0.39295382304830834,-0.1879138448728673
1.56,0.16331878609106532,1.60435681957964,8.765129239286985,-0.5808670945080577,-0.15212322080951787
1.6199999999999999,0.19865457779574047,1.6618278718622486,9.036303463240722,-0.7387534739000147,-0.07028177259461602
1.68,0.2361222911138482,1.719053168353217,9.274089220601692,-0.8390648016979023,0.011381338200021985
1.74,0.2752972630352269,1.7760099612174065,9.481083816422032,-0.8620259997459514,0.05214417015893025
1.7999999999999998,0.31579305025700616,1.832692176425828,9.664975718799685,-0.7990985955287413,0.036168029903216665
1.8599999999999999,0.3572989784380271,1.8891124352555182,9.837183277767245,-0.6544196390271004,-0.022197851429440297
1.92,0.39955639535878507,1.945301049763858,10.010338436149937,-0.444407557858019,-0.08881077884739821
1.98,0.44229658708340225,2.001302665665389,10.19521737898534,-0.19591225015393676,-0.1298743215159222
2.04,0.4851822824510057,2.057170731900772,10.400034754194388,0.057794476095384004,-0.1298751685638708
2.1,0.5277935561269446,2.1129601084961274,10.631729583061752,0.2823309061924705,-0.09683408370348993
2.16,0.5696642827155987,2.1687192271952758,10.897126784897951,0.44758538821904315,-0.05528925191384154
2.2199999999999998,0.6103474102644232,2.224483230790535,11.204351450538711,0.5329572116521719,-0.03252076702833374
2.28,0.6494802193833422,2.280269520396577,11.562371271656966,0.5306666391085917,-0.04529331385172989
2.34,0.686823144189285,2.3360765618535044,11.977428588965092,0.44618390862707336,-0.09352673977836456
2.4,0.7222604330719693,2.391885751090525,12.448891663762529,0.2966330835622134,-0.1619180562346345
2.46,0.7557654013503671,2.4476659748698095,12.965759401542895,0.10751708692198404,-0.2286349498579072
2.52,0.7873470912074659,2.5033796800020434,13.504843358692609,-0.09116130048210636,-0.2768258601140255
2.58,0.8170048750329447,2.5589888406031474,14.033449434133427,-0.26796243939548114,-0.3005460364604213
2.6399999999999997,0.8447043733417807,2.6144609535443024,14.515566168999344,-0.3931810529929967,-0.3033357036577098
2.6999999999999997,0.8703714170725801,2.669775152727772,14.917783474309987,-0.44299943078654774,-0.2934321596536262
2.76,0.8938960877844694,2.7249270281821714,15.214312637432995,-0.4030661835400345,-0.2778337668432988
2.82,0.9151358832593449,2.779931183794516,15.391008874932384,-0.2703429712369804,-0.2581542633557329
2.88,0.93391116118391,2.8348216339210563,15.446377520777933,-0.05387527050105138,-0.23149796175245807
2.94,0.9499934822457675,2.8896501355493265,15.388546747044915,0.22528800623004963,-0.19709512957374364
3.0,0.9631062498401854,2.9444818415450613,15.231420434360235,0.5361638192827379,-0.1613309042350125
3.06,0.9729531324420526,2.999388645393896,14.992198200441186,0.8414290455724464,-0.13543118988948988
3.12,0.9792566463816834,3.0544410378405793,14.691538433191738,1.102398055368152,-0.12975028511598868
3.1799999999999997,0.9817939323343994,3.1096992462798916,14.35669651765637,1.285675628183586,-0.14697159045689998
3.2399999999999998,0.9804236245040844,3.1652058178420517,14.022666137942212,1.3688427430136256,-0.177904682449337
3.3,0.9750898355072494,3.2209811010088605,13.730136195979515,1.343515836270045,-0.2036791840787266
3.36,0.9658033496983922,3.2770219153690174,13.52196545768943,1.2162132241964934,-0.20357090257013719
3.42,0.9526165704300685,3.3333034197812643,13.438140710582285,1.007410518247893,-0.1650993530294169
3.48,0.9356093990177432,3.3897842479421727,13.507422689215261,0.7481644867731421,-0.09358371130990079
3.54,0.9148991304613593,3.4464139586074887,13.737104615919966,0.4749452163786968,-0.017335610013459218
3.5999999999999996,0.8906882910368384,3.503140810549152,14.107138544201275,0.22469560070295427,0.01947984461413553
3.6599999999999997,0.8633464035556334,3.5599189496757115,14.571925097377102,0.03081348232928672,-0.020964699308639412
3.7199999999999998,0.8334753853636904,3.6167145300572736,15.070493094345391,-0.07987011395042921,-0.14348493336395546
3.78,0.8018920089029631,3.6735108567543917,15.540329870766707,-0.08972825041458637,-0.3085967659461074
3.84,0.7695079168718131,3.7303123607718476,15.928262863292836,0.0074274154398404554,-0.44687807544485986
3.9,0.7371470828731159,3.7871463690201352,16.196145467878846,0.20482085141302075,-0.49167577351856495
3.96,0.7053782336498786,3.8440620012290156,16.322056808062474,0.48221931036081145,-0.4125076933419247
4.02,0.6744362875448825,3.901125697403879,16.2993447611892,0.8077707545828934,-0.23154593394370568
4.08,0.6442669088444019,3.95841341086296,16.13657981701077,1.1427559419451097,-0.01366702416000939
4.14,0.6146727168337057,4.016001098155981,15.85658404331473,1.4471869707233465,0.16419608208157171
4.2,0.585482885035543,4.073955582001636,15.492261325038266,1.684480736241225,0.24485811813869546
4.26,0.5566761584779714,4.132326796178142,15.084222271973534,1.8263689924443756,0.21217180430189894
4.32,0.5284278817956795,4.19114244198277,14.679383957510728,1.8574963470794121,0.09701783146374113
4.38,0.5010704086766489,4.250405690309325,14.32753083223493,1.7778143129729025,-0.035246242221391944
4.4399999999999995,0.4749861751781905,4.310096219603435,14.07718323751708,1.601912255099469,-0.11097351075321105
4.5,0.4504800413971899,4.370174762141276,13.969482433100675,1.3552413529411789,-0.079832734262834
4.56,0.4276848599628843,4.4305897479005525,14.029183880353887,1.0693225120086918,0.0579758484685372
4.62,0.4065509377296135,4.491284246965313,14.25146770757469,0.7776213633657081,0.23907038768625652
4.68,0.386965597412127,4.5521821034673975,14.595329157699654,0.5159467497393314,0.3596442142433536
4.74,0.3689688119061175,4.613193389718301,14.99744038251158,0.32123039355637356,0.33785913393931505
4.8,0.3529113169569613,4.674260555992578,15.392678135221011,0.22229027437373705,0.16895300955754228
4.859999999999999,0.3394285236405692,4.735364897806373,15.7259344752768,0.23445903561158918,-0.06883051676338746
4.92,0.32923350976462307,4.796511129799313,15.956533426528491,0.3588609291600051,-0.25532917238395
4.9799999999999995,0.32283086232996383,4.857728722105255,16.05825331203206,0.5810357860766245,-0.29075287663072374
5.04,0.3202900631782529,4.919069334549937,16.01837704747548,0.8715383210769854,-0.14579245011943776
5.1,0.321185882489764,4.98060000287323,15.838562214740573,1.1896567266049516,0.12576130420550993
5.16,0.3247289890563242,5.042393025509631,15.536998620382835,1.49025775857056,0.41587009295826466
5.22,0.3300163436042765,5.104514861823796,15.149612664681213,1.731242259039953,0.6151765720575217
5.279999999999999,0.3362844948036741,5.167016791390542,14.727968290161119,1.8788802637115498,0.6630316755841498
5.34,0.3430625112071784,5.229929060888467,14.33121039891302,1.9102907032876173,0.5706475039029187
5.3999999999999995,0.35017519856634505,5.29325821552644,14.014060177294953,1.8145989174116306,0.408399085542893
5.46,0.3576204206869561,5.356986373640451,13.815619890828668,1.5942582710074489,0.2665343354167009
5.52,0.3654020802709533,5.421072021286488,13.7477581633656,1.265539782625059,0.20824690095699366
5.58,0.3734078026034866,5.485452397323933,13.785291869672687,0.8580376635430913,0.23596050067365335
5.64,0.381400890185995,5.550047376424277,13.869823548603364,0.414619430272604,0.2938997730964579
5.7,0.3891309402531952,5.614766091076622,13.92980836407851,-0.01032727308991186,0.3116420153881378
5.76,0.39646458198657564,5.679517842721599,13.905834700102329,-0.3576528416320838,0.25743342812390474
5.819999999999999,0.403419864501114,5.744225510603208,13.767362381785416,-0.5741480648101926,0.16267848497614912
5.88,0.4100596640116084,5.808837586637733,13.512741875023625,-0.62341375482109,0.10051847622545271
5.9399999999999995,0.4163044107353859,5.873336243463042,13.157054866924273,-0.4940483579184569,0.13469247257856626
6.0,0.42179037567009203,5.937740041236472,12.720433025298455,-0.20319513275463646,0.27668696829119427
6.06,0.4258660746753147,6.002100616111296,12.224898385905721,0.20556471694211717,0.4783624867646676
6.12,0.42773107509216024,6.066493858143491,11.697494662082521,0.6689586417204294,0.6600545633792182
6.18,0.4266445109240303,6.131007175050138,11.173275034655479,1.1135194519070533,0.7534286251475256
