# Sensor: Rotor
# Record count: 13498
# Storage mode: Memory
# Datetime of save: 2026-03-03T19:07:00
# Statistical parameters for each field (time series) are placed above the column of the respective time series.

# Results earlier than the 'Statistics start time' (see below) are not included when calculating the statistic variables.
# Statistics start time: 0 s

# Column
1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	
Time [s]	Power (aero) [k W]	Torque (aero) [k Nm]	Thrust (aero) [k N]	RPM [rpm]	TSR []	Representative demanded pitch angle [°]	Power coef. (CP) [%]	Thrust coef. (CT) [%]	Torque coef. (CQ) [%]	Tip speed [m/s]	1P (one revolution) [s]	nP (blade passing) [s]	Azimuth angle [°]	Rotation per timestep [°]	Wind speed at hub, magnitude [m/s]	Wind speed at hub.x [m/s]	Wind speed at hub.y [m/s]	Wind speed at hub.z [m/s]	Turbulence at hub (local).x [m/s]	Turbulence at hub (local).y [m/s]	Turbulence at hub (local).z [m/s]	Wind angle at hub [°]	Yaw angle relative to forward [°]	Yaw angle to reference direction [°]	Yaw error [°]	Torque about yaw axis [Nm]
----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------
Min	0 [0s]	0 [0s]	640.381 [100.025s]	6.87549 [0s]	8.01754 [0s]	0 [0s]	0 [0s]	65.5247 [100.025s]	0 [0s]	64.1403 [0s]	8.72665 [0s]	2.90888 [0s]	0 [0s]	1.03132 [0s]	8 [0s]	0 [0s]	-8 [0s]	0 [0s]	0 [0s]	0 [0s]	0 [0s]	0 [0s]	0 [0s]	0 [0s]	0 [0s]	-2.19792e-07 [267.1s]
Max	4503.34 [150.2s]	6254.63 [150.2s]	901.462 [150.2s]	6.87549 [0s]	8.01754 [0s]	2 [100.025s]	57.5985 [150.2s]	92.2388 [150.2s]	7.18406 [150.2s]	64.1403 [0s]	8.72665 [0s]	2.90888 [0s]	359.957 [270.55s]	1.03132 [0s]	8 [0s]	0 [0s]	-8 [0s]	0 [0s]	0 [0s]	0 [0s]	0 [0s]	0 [0s]	0 [0s]	0 [0s]	0 [0s]	1.82539e-07 [229.15s]
Mean	3634.53	5047.96	808.144	6.87549	8.01754	0.297377	46.4863	82.6905	5.79807	64.1403	8.72665	2.90888	178.975	1.03132	8	0	-8	0	0	0	0	0	0	0	0	6.14501e-11
Standard deviation	159.139	221.027	45.3399	nan	1.55405e-06	0.711589	2.03542	4.63925	0.253871	1.24324e-05	7.06868e-06	nan	103.736	nan	0	0	0	0	0	0	0	0	0	0	0	5.75002e-08
----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------
0	0	0	823.493	6.87549	8.01754	0	0	84.261	0	64.1403	8.72665	2.90888	0	1.03132	8	0	-8	0	0	0	0	0	0	0	0	0
0.025	3643.06	5059.81	823.488	6.87549	8.01754	0	46.5954	84.2605	5.81169	64.1403	8.72665	2.90888	0	1.03132	8	0	-8	0	0	0	0	0	0	0	0	1.67638e-08
0.05	3643.09	5059.84	823.494	6.87549	8.01754	0	46.5957	84.2611	5.81172	64.1403	8.72665	2.90888	1.03132	1.03132	8	0	-8	0	0	0	0	0	0	0	0	6.89179e-08
0.075	3643.09	5059.84	823.494	6.87549	8.01754	0	46.5957	84.2611	5.81172	64.1403	8.72665	2.90888	2.06265	1.03132	8	0	-8	0	0	0	0	0	0	0	0	1.08033e-07
0.1	3643.09	5059.84	823.494	6.87549	8.01754	0	46.5957	84.2611	5.81172	64.1403	8.72665	2.90888	3.09397	1.03132	8	0	-8	0	0	0	0	0	0	0	0	-2.79397e-08
0.125	3643.09	5059.84	823.494	6.87549	8.01754	0	46.5957	84.2611	5.81172	64.1403	8.72665	2.90888	4.1253	1.03132	8	0	-8	0	0	0	0	0	0	0	0	4.47035e-08
0.15	3643.09	5059.84	823.494	6.87549	8.01754	0	46.5957	84.2611	5.81172	64.1403	8.72665	2.90888	5.15662	1.03132	8	0	-8	0	0	0	0	0	0	0	0	-1.17347e-07
0.175	3643.09	5059.84	823.494	6.87549	8.01754	0	46.5957	84.2611	5.81172	64.1403	8.72665	2.90888	6.18794	1.03132	8	0	-8	0	0	0	0	0	0	0	0	-3.53903e-08
0.2	3643.09	5059.84	823.494	6.87549	8.01754	0	46.5957	84.2611	5.81172	64.1403	8.72665	2.90888	7.21927	1.03132	8	0	-8	0	0	0	0	0	0	0	0	9.31323e-09
