time,x_t,phi_shaft,q_b0_m0,q_b0_m1,q_b0_m2,q_b1_m0,q_b1_m1,q_b1_m2,q_b2_m0,q_b2_m1,q_b2_m2
0.0,6.384289828223384e-05,0.043184993935889676,0.003919850006652149,0.0022485368655337894,0.038863774942211014,0.039477060905709856,-0.018363917382943573,-0.004505691819806716,0.04302170288630031,0.02032976547932482,-0.003813528855627112
0.06,0.0003046593799599256,0.08632662893953533,0.02389360808475302,0.009508390293863463,0.18066829319432862,0.20179880005952622,-0.08958334426792491,-0.018368720218220645,0.21619478369368214,0.09877115416391494,-0.013755421731565565
0.12,0.0007188004299876528,0.1294161524210811,0.07353676184922035,0.018635442278285945,0.4091917507632104,0.5325269549251147,-0.22373057493471685,-0.038010606766576395,0.5576877534813139,0.24435243608125393,-0.02340830539092255
0.18,0.0012107919798660148,0.17246387056806475,0.15894538946654563,0.022437866898379247,0.6280477151046853,1.0216344124497578,-0.40520655287910656,-0.06286259674285956,1.0426427966455156,0.4363146996844727,-0.03107603036406428
0.24,0.0018107220129745345,0.2154798433248838,0.27973536085964557,0.014798579204878653,0.7421112972744306,1.632768144759298,-0.6112565615413441,-0.10582005172998045,1.6243176190898645,0.6488189507325935,-0.04772211261199144
0.3,0.0028843823869301862,0.258470452158365,0.43367189216516755,-0.008114469925327609,0.7057299830918705,2.3108105228683153,-0.8135475094546935,-0.17948313085927772,2.2443369468256007,0.8553765500994216,-0.08390707069831208
0.36,0.00524396364214273,0.3014377981904657,0.6183283138464014,-0.047386387768386676,0.5444548925280928,2.9973017111854694,-0.9826214445699697,-0.27487496526933214,2.8451473805409737,1.0315349291381193,-0.13403293642484757
0.42,0.010012052590905736,0.3443808663435921,0.8299091635694816,-0.10151790046049776,0.3406061656245189,3.6404412468309095,-1.0927816092669649,-0.36171093868491133,3.3779891659175822,1.1570109350192175,-0.1761696703152552
0.48,0.018299181176158353,0.3872973980658347,1.0609139689243874,-0.16716647995849457,0.19180718005276076,4.198238636328831,-1.1260298096770391,-0.4065740427136585,3.8061815177571265,1.2176959666186977,-0.18444449464288057
0.54,0.030866337693417834,0.4301856349653692,1.2984537008444932,-0.24000782223367034,0.16383992304473105,4.64072063768618,-1.0747352683643987,-0.3897438820558886,4.107089470359244,1.207201092733172,-0.14180877629643612
0.6,0.047901810571312285,0.4730451108957867,1.5244060076649413,-0.3151163918719298,0.26036051381294995,4.951374337228104,-0.9426313244677338,-0.31494195338686454,4.272196589425308,1.1278671552149304,-0.05050653579922546
0.6599999999999999,0.06900817592404532,0.5158764910344353,1.7183128566272166,-0.38697014316715544,0.42375544152665395,5.127649390349012,-0.7440600436618972,-0.20816796236976107,4.306792373998481,0.9907652542272337,0.06706480793242621
0.72,0.09340229809876495,0.5586810078617644,1.863145040434666,-0.44976828984782485,0.5669760597523281,5.180159661537595,-0.5016591653140057,-0.10658283733364263,4.2289758074287915,0.8144258623977776,0.17914741992432048
0.78,0.1202220797146408,0.601460082395955,1.9508421620620229,-0.49834729082941254,0.6186232229331018,5.130953276875819,-0.2430708435345782,-0.0419979667145557,4.066513660664921,0.6225548559506444,0.25934160387702626
0.84,0.14878796167656996,0.6442153982692757,1.9841046477765407,-0.5291838728051583,0.5566392514527053,5.010733873968193,0.0027091032437502865,-0.027017175427878397,3.8521726082405188,0.44099978957671265,0.29713247935238374
0.8999999999999999,0.17870944624172147,0.6869495109599968,1.9745638013870392,-0.5409835727043274,0.4159317244095337,4.854844732657706,0.20864589372590325,-0.05113972347493501,3.618717077990843,0.2941473285907522,0.30013777650589646
0.96,0.2098111979341752,0.7296669268572864,1.9386611297321874,-0.5350809303728532,0.26829492860173343,4.698599688505991,0.3522987317669083,-0.0882722793678277,3.3941867228425004,0.2011708971936281,0.28747839898337424
1.02,0.24194262683287646,0.772374915431213,1.8928029575187837,-0.5157937414084246,0.18533348565034283,4.573028091203671,0.417900193265859,-0.11098732679175871,3.1985402107926917,0.17297993578827484,0.2784937607603062
1.08,0.2747877371253591,0.8150828801142302,1.8498946450400786,-0.4901011907463773,0.20348368402676728,4.501403911446199,0.3980595232472641,-0.10453348105174498,3.0428330760530136,0.21081176987452527,0.2834345552234254
1.14,0.3077801428276744,0.8577998444530823,1.8181664596345468,-0.4662452341423082,0.30757364202848414,4.496987608592316,0.29530984823977835,-0.07407270130965435,2.930661062738979,0.306744855048553,0.30039730918874635
1.2,0.3401690901164157,0.9005309313585781,1.8020177639864852,-0.4516511132395408,0.4396657779058081,4.562382159672194,0.12309356518053913,-0.041617941522819384,2.8603824618629683,0.4455886946492569,0.31877814569742036
1.26,0.37120644978671996,0.9432744099089503,1.8043685855573772,-0.4510325672508053,0.5289093233150234,4.690081019267423,-0.09476536118075642,-0.0344158256939721,2.826944176656301,0.6074719421333868,0.3266024266214788
1.3199999999999998,0.40036172541606274,0.9860207199009889,1.8290160549967447,-0.46554184633316104,0.5271456709410143,4.864347844789115,-0.32653960649822333,-0.07007523833102783,2.82308534850591,0.7706412279150971,0.31782235828466315
1.38,0.42745440548349944,1.0287540646251456,1.881127754610017,-0.49310055152156296,0.43149517803427834,5.064555928067096,-0.5368783455778354,-0.1454665681139447,2.8401161236900667,0.9140819088075082,0.29588281879562717
1.44,0.452634537967827,1.0714560604454395,1.9658230127437522,-0.52945606580081,0.2838211148595396,5.268482932004329,-0.6921749001451291,-0.23645572210677945,2.868637071641704,1.0197434585580636,0.27197756429349446
1.5,0.47622059607865136,1.1141102739533313,2.085710467342798,-0.5696552107809405,0.14883279594358528,5.454638691979784,-0.7658352905607122,-0.30922675319664533,2.8995891153227724,1.074296713366009,0.25938082908283694
1.56,0.4984736128827367,1.156706346570961,2.238329449825802,-0.6095475798871538,0.081948582072233,5.604079938791341,-0.7424730124852482,-0.3365009403257734,2.92550532547691,1.0703052212988653,0.266974559890112
